Name	Ctf
Lamp Carton	3
Cabinet, Utility	17
Dresser - Single 30	30
WICKER BASKET	1
Outdoor - Swing Set	39
Rocking Chair	9
fountain	14
Edger	5
Dresser - Tall	35
Bed -- Headboard	6
Sofa - Section	20
Monitor	4
telescope	9
washer	5
Chair - Occasional / Recliner	15
Wine Fridge	11
Chair-Whicker	4
punching bag	13
LCD TV- 46 inch tv	15
XMAS TREE	5
Milk Crate	3
cushions-lawn chair	3
Paper Shredder	3
Chaise	12
Band Saw	14
Plastic Toy	7
Child's Toy	5
speaker	6
Exercise Ball	1
cabinet, large	21
Rug Small	2
CUSHIONS	1
Tools -- Outdoor/Garden	10
misc.	15
bed headboard	10
Chair Mat	2
Bean Bag Chair	4
.ORIGIN CARRY < 100'	0
golf clubs	9
Trampoline - Exercise	5
Shelves - small	9
Misc HHG Item	10
Dog Kennel	4
GATE CHILDS	1
hammock	9
Table coffee	6
Antique Stero	7
Small cabinet	6
Chair-Aluminum	1
Tote Box	5
SCREEN	4
chairs-stack plastic	2
Shelves - Wood	3
PBO'S 4.5	4
Shopping Cart	2
Igloo	4
Cradle	8
.ORIGIN - SHUTTLE	0
Desk Table	8
Trimmer / Leaf Blower	2
bird bath	19
File Box	3
Rug - 8 x 10	10
Patio chair	3
Chest of drawers	15
Rug small	3
jack stand	8
totem poles	3
Walking Sticks	2
Towel Stand	1
Camping gear	3
Weedeater	4
Misc. Items	1
Hot Tub - Under 65 Cu Ft	386
Workmates	4
Copier	22
chair	2
Bike-Kids	3
KAYAK 14' & OVER	14
Chair - Wood	4
Floor Mat	2
Toy Kitchen	5
.ORIGIN - APT UNIT	0
Bed - Bassinette	12
smoker	10
Saw - Table	20
Cat Tower	7
Guitar - In Case	2
PBO - 1.5 - (BOOK BOX)	5
Wall Unit	49
duffel bags	4
TV Tray	3
Dryer-Electric	25
HARVEST TABLE	10
bar stool	2
Metal Wall Art	2
Firebox Insert	8
Misc 100 cu	198
Luggage Set	5
Desk computer	15
Fireplace Screen	5
Wheel Chair	7
Bed -- Footboard	2
Cabinet - Wood	9
Fishing Pole	1
Playset	28
canopy	4
PBO - 9.0 (WARDROBE)	10
crate	7
Printer - Desk Top	3
Garden tool	1
Tote Small	2
Arm Chair	12
Chaise-Folding	10
LCD TV-32	10
Radio	12
totes empty	1
FUTON	13
GENERATOR	16
pet carrier	5
Toy Tub	2
Hedge Trimmer	2
BEDRAILS	5
Bassinet	6
Saw horse	2
camping equipment	5
Pool Table - Comp.	24
.FLOORS - TILE	0
XMAS Tree	7
Chair - Arm / Papasan	9
Stereo Components	2
Bird Bath	9
Cabinet - Large	27
Chair - Metal	3
trunk	9
Chainsaw	3
Cot	5
PBO - 4.5 (LARGE)	5
bed footboard	5
edger	5
Table - Outdoor	9
skis	5
Aquarium	12
WINE BOTTLES	0
SKIS/SNOW BOARD	3
Rug - 5 x 7	10
duffel bag	9
CHINA CABINET	40
Self Metal	5
snowboard	7
Home Gym Built	63
magazine rack	4
Chimnea	7
3.0 carton	3
saw	14
Bird Bath (Check Weight)	8
Outdoor Table	7
Armoire - Large	38
Chair, Aluminum	1
Ice Chest	3
Christmas decor	5
Cushions	4
Cube	2
Shelves - Metal Small	4
Sofa Chair - Occasional	14
dog kennels	5
Gun Cabinet	11
Bricks	9
Jointer	12
Basketball hoop	14
Case	3
Patio table	14
Table - Coffee End	5
Chair - Beanbag	2
Bins	3
Plastic Bins	4
gate-folding	1
milk crates	1
Appliances - countertop	3
Chair-High	5
Wine	1
Umbrella-Stand	5
Toy Car	9
Shoe Shelf	3
Valet	4
.ORIGIN - DRIVEWAY PAVED	0
armoire	38
Dining - Table Leaf / Pad	2
Piano Bench	5
Tote Ctn	2
Dog Cage	4
SHREDDER	1
ice chest	4
POTS	2
Mat	2
AISLE	2
Chair Office	5
Xmas Tree	6
Duffles	5
Cage	4
Beach Chair	3
folding chair	1
nothing going	0
.IMPORTANT NOTE 2	0
.3RD PARTY - ADD TO BILL	0
Keyboard w/Stand	9
tote medium	7
kennel	4
Mirror - (Floor type)	5
Chair - Leather	10
cat box	3
BUFFET	34
Cart, 3 Drawer Plastic	5
ramp	4
Table-End	5
Desk small	12
folding chairs	2
Patio Set	45
TV	8
bassinet	4
Misc Boxes	3
horse	3
UMBRELLA STAND	6
Engine	51
water cooler	8
WAGON	4
Heavy Bag	7
amp	11
Folding table	5
Garden hose on reel	6
Wall Shelf	3
Garden Hose Reel	8
Table, Folding	5
Bouncy Chair	5
Tractor Trailer Access OK	0
compressor	10
Xmas tree	5
Wicker Chair	5
Safe Floor/Small	10
Silk tree	5
Umbrella	5
Sofa - Loveseat - Leather	30
Weight Bar	4
Vehicle - Year, make - model	0
tote-small	2
Air Hockey Table	17
Dresser - Vanity Bench	3
toy chest	8
jack	8
Kitchen - Chair	5
Ottoman - Leather	5
Mower, Power	15
HOT TUBS: 65' & OVER	104
Bike youth	4
Cabinet, small	9
Bar, Stool	3
4.5 carton	4
Tote -Plastic Packed	2
Outdoor Chair	3
.GLASS TOP(S) CP	0
Table - Breakfast	7
Tub	4
Headboard / Footboard	9
Dryer -  Not Going	0
Washer - Not Going	0
pedestal	9
Plastic Storage Bin	3
Table lamp	3
Shelving Unit - Large	23
Shelf - Wood	3
range/stove	25
racks	2
Cement Bench	20
plastic drawers	3
Gun Safe	79
Cabinet, Curio	20
Pedastal	4
Barrell	9
Firepit	10
CAMPING EQUIPMENT	10
MISC. TOOLS	9
LCD TV-37 inch	10
entertainment center	11
Glass Top	8
Xmas PBO	3
steamer	3
air mattress	7
LCD TV-55 inch	15
Clock	5
MISC TOOLS	9
Piano- Upright	70
Bench - Vanity	3
AMP	6
Rowing Machine	20
Rack - Shoe	2
Yard Tub	9
foosball table	21
shop vac	4
Hand Truck	5
Carpet - Medium	5
armoir	41
buffet top	23
MISC ITEMS	152
PICTURES	1
Bed, Footboard	5
Bed, Headboard	10
Drums	12
Chair Dining	5
Rack Shoe	2
METAL RACKS	14
tools	9
Shelf - Plastic	3
BB Hoop	21
TV - Flat Panel	14
Doll house	10
Tote - LG	6
gun safe	24
table bar height	20
China Cabinet	29
Pool Table Slate & 3rd Party	7
Coat Rack - Large	8
Tiller	15
china cabinet	31
Chair - Stack / Metal	1
Cooler - Small	2
Chair - Breakfast	4
Mirror free standing	5
MIRROR	9
Cooler - Ice Chest	2
ladder 10 Foot	7
Metal Rack	12
Clamps	3
Car Top Carrier	10
Step stool	1
workmates	6
Porch Chair	5
PBO - TOTE (UNDER BED)	3
Chair - Wicker	5
SETTEE	10
Hoop	7
Toy Box	9
Carton	4
Bar	19
CASES OF WINE	5
Bar - Stool	3
dryer	25
SAW HORSES	2
LCD TV-40 inch	10
Chairs-Folding	1
Record Player	17
fouton	25
TABLE SAW	15
ToolChest	105
Basinette	7
Birdbath	11
Shelf Metal	5
Weedwacker	2
RACK,SMALL	5
Chair - Computer	5
SCOOTER	1
Cat Stand	4
Washer/Dryer Combo	50
.FLAT SCREEN TV - < 40" CP	0
Garbage Can	4
basket ball hoop	17
statue	9
Washing Machine-Top Loader	30
CAMP GEAR	9
COAT RACK	2
Desk, computer	12
Cabinet - Plastic	7
Desk Computer	12
Chair - Lawn	2
Bike rack	3
Self Plastic	3
Patio Chaise	10
Plastic Plants	4
Plastic drawer	4
Bedframe	14
executive Chair	16
dish carton	10
Vase	2
Engine Stand	12
Hamper - Clothes	2
Chair, folding	2
Outdoor - Child Gym	30
Cabinet-med.	20
Exercise Bike	31
Speaker - Large (Blanket Wrap)	5
Weight Rack	27
Dorm Fridge	5
Plastic Drawer Unit	5
WHITE BOARD	2
Vacuum - Floor Sweeper	1
storage cab	20
Hamock	8
Pack-n-play	5
gate	3
Desk - Large / Office	31
Laundry Basket - large	9
BED - Queen	61
organizer	10
cat furniture	10
Bookcase-small	5
Food Storage	4
plastic Shelves	5
Arm Chair - LG	20
Bassenet	3
Chair, Rocking	5
Tool - In a case / Power Tool	1
Dresser, Mirror	10
cabinet storage	15
cat tower	10
Fan - Ceiling	5
DESK	12
Patio Chair - Metal	7
Desk - Hutch	10
Net	2
Brooms, Bucket	3
Playhouse	18
LCD TV-48 inch	15
Juke Box	51
Drum Set	20
LCD-60 inch	20
Toy chest	6
Fireplace	29
File Cabinet-4 door vertical	10
Wardrobe	10
BOAT TRAILER	190
washer/dryer combo	60
Kids kitchen	5
Chair - Light	2
Plant	6
Cabinet - Utility	12
Ceramic Pots	9
Tent Camping	5
desk - small	10
Credenza - large	18
Tote - Small Packed	3
Tote - Large Packed	7
PBO's moving	3
chair, dining	8
Wicker Bench	9
Toy	1
Music Stand	1
basket	2
CARD TABLE	1
bin, large	10
Chair, Dining	4
Guns	4
grill	13
Exercycle	7
Table Sofa	7
ELLIPTICAL	20
PLASTIC SHELVES	7
Chair, Kitchen	5
Chair Beech	2
Chair Metal	2
Table Patio	10
planters	2
Miter Saw	18
Plastic storage bin	2
Dresser-Chest	30
Vise	9
Basket Ball Hoop	10
Shelving, Plastic	4
cabinet plastic	4
duffle bag	5
Mirror With Feet	5
Battery Charger	4
PBO - TOTE (MEDIUM)	4
Washer - 3rd party	25
Washer - Front Load	32
Fishing gear	5
Ice chest	2
Head board/foot board	20
MATTS	1
Floor mirror	8
lawn edger	5
book carton	7
White Board	2
BBQ - Smoker	5
Tool Chest - Large	38
Sweeper	2
Table-Patio	18
Shoe shelf	2
Treadmill - Large	30
Shop vac	4
KAYAK UNDER 14FT	6
-	0
Util - Dryer	25
Bench-Small	4
Bed-Roll Away	2
lamp floor	3
Carpet - Large / Pad	10
pots	8
buckets	2
Wheel	2
humidifier	3
Chair Plastic	1
Sculpture	10
.STREET / PARKING INFO:	0
Dryer - Electric	24
MISC CUBE	11
Saw Horse, Folding	2
Cabinet - Corner / China	26
Clothes Hamper	2
washer, front load	25
File cabinet	5
Antique Desk	9
Tote-Medium	7
Camping Gear	6
Plastic Bin - Large	5
Range/Stove. 36"	30
Shelves - Plastic Small	4
Organizer	3
Christmas Ornaments	7
Goal	5
Appliances- Counter Top	3
Hutch - Bottom	25
Porch chairs	2
Notes - For Current Room	0
Patio chairs	4
small table	3
Toys	6
Plastic Drawers LG	5
Nothing Else is Moving	0
Gas can	2
HAMMOCK	4
Wardrobe PBO	10
Dresser - Small	10
plastic shelves	4
tube	1
Saw-Table	10
Kiln	16
table-card	2
miscellaneous	13
Wheelchair	14
Motorcycle	57
Weight Stand	8
Camp Gear	3
Chair - Adirondack	6
Locker	10
Plastic Bucket	3
Gun	2
Whiteboard	5
Creeper	4
Rototiller	17
Kids Kitchen	4
Desk-Computer	17
Table, Coffee	13
table base	8
notes	0
CANOE 14' & OVER	12
Bed- Headboard	5
Cat Tree	7
trailer	72
Kitchen Island	16
Gazebo	26
PBO - 2.5 (MIRROR CARTON)	2
outdoor dining table	30
Table - Child / Train	5
Car Ramps	4
Compressor, Air - Small	4
Carpet - Small / Runner	2
TV Stand	6
Shelf Large	8
BED FAME	8
snow skis	2
Shelve Plastic	4
TV LCD	5
cabinet -small	10
cabinet-medium	20
Globe	3
BAG	3
drill press	30
Work Bench - Small	15
Bath Shelf	3
Dollhouse	4
Cabinet-Large	32
Cat tree	5
GATE	1
Lawn Edger	5
TV - 32" LCD/LED	13
plastic chair	1
Grill	14
Wine Cooler	16
.DESTINATION - ACCESS UNKNOWN	0
Razor scooter	1
Wood Swing Set	93
Table - Patio Metal	4
Concrete Item	16
Printer Large	3
CHOP SAW	5
Refrigerator - Not Going	0
Plants	2
globe	8
Island	19
Shelf - Small	3
Book Shelf	5
CAR SEAT	7
pack n play	8
Canopy- portable	8
Computer - monitor	1
golf cart	109
rock	8
Radio Arm Saw	27
Safe - Small	10
