Name	Number	Ctf
Refrigerator - Cust to Service	3	30
baby swing	3	5
child's car	3	8
loom	3	20
weicker shelf	3	1
fire hydrant	3	6
hose	3	2
Washing Machine - Top Load	3	25
Misc Cube	3	5
Jeep Soft Top	3	15
Trailer Deck	3	10
Yard Cart	3	5
DINGHY 14' & OVER	3	15
Hamock Stand	3	10
patio table	3	10
.EXERCISE EQUIP - TREADMILL	3	0
bike parts	3	1
Wicker Trunk	3	8
Chaise, light	3	4
Chair Lift	3	3
Pack n Play	3	3
Bin - Large	3	15
Podium	3	6
Outdoor Small Table	3	3
Chair - Sun	3	1
shop vacuum	3	5
tripod	3	5
clothes racks	3	5
.BASEMENT ~ MANY LARGE ITEMS	3	0
.BULKY - MOTORCYCLE	3	0
Motorcycle (Large) (NO GAS)	3	83
Tool Chest - Medium (Full)	3	75
Toy Car/Jeep	3	5
Loom	3	93
TABLE-SMALL	3	2
TABLE	3	8
Eisel	3	2
Child's Car	3	5
massage table	3	13
Antique Refrigertor	3	10
Christmas Tree - Large	3	20
Freezer - Large (Empty)	3	30
Chest - Jewelry	3	6
Plastic Bin - Medium	3	3
Glass Top - Small	3	5
Mirror - attached	3	8
Shoe shelving	3	5
Cabinets	3	15
Chaise Lounge - Overstuffed	3	25
Bamboo Chair	3	3
Rubbermaid Chest	3	10
Dividers	3	10
PLASTIC SHELF	3	2
TRASH CAN-small	3	3
Tree Stand	3	5
Chair - Game	3	6
Punching/Speed Bag	3	5
Stuffed Animal	3	5
Bed - Box Spring	3	5
wine refrigerator	3	20
Chair-Wood	3	5
Easil	3	3
Sofa - Hide/Recliner	3	50
Desk-Childs	3	5
X-Mas Tree - Large	3	10
Util - Pedestal - Washer/Dryer	3	6
Util - Wash Machine - Front Load	3	25
Rattan Wicker - Table	3	3
Stone Sign	3	35
Piano - Spinet	3	52
Flooring	3	5
Plastic Tubes	3	3
Cabinet Drysink	3	10
Tub 5.0	3	5
bag	3	9
Plastic Chair	3	1
Refrigerator - College	3	7
Chair - Beech	3	2
Roto Tiller	3	13
Table Folding Large	3	10
boggy boards	3	2
crib parts	3	5
oars	3	1
Table-Butcher Block	3	20
Aluminum Chair	3	1
Saw Horse5	3	5
Play Structure	3	100
framed photos	3	3
Bistro	3	5
Heater - Small - electric	3	2
Outdoor Furniture Cushions	3	2
Washing machine frt load	3	40
Shed Plastic	3	4
computers	3	5
Shelves - Shoes Metal	3	2
Guerilla Rack	3	16
play pen	3	6
Bin	3	4
Art Easel - Child	3	3
Wagon - Child	3	7
3 Panel Screen	3	5
fishing poles bundle	3	5
Washer, Front load	3	25
PBO MIRROR CARTONS	3	4
Dog House Plastic Medium	3	7
Table Small	3	1
monitor	3	4
Piano, Electric	3	18
Rubbermaid Rack	3	5
Hose reel	3	5
TABLE FOLDING	3	2
FOLDING CHAIR	3	1
FISH TANK	3	5
Dog Cage / Kennel	3	5
Riding Mower	3	40
Outdoor Decorations	3	5
Tool Caddy	3	5
Mirror LG	3	6
Art Items	3	4
Already Packed Box	3	1
No Items in this Room Going	3	0
Chair, Recliner	3	16
BABY GATE	3	1
TABLE-SOFA	3	7
Head Board & Foot Board	3	20
.ITEM NOTE	3	0
footboard	3	5
Desk - Section / Sidebar	3	16
bench, boudoir	3	9
Chair, Plastic	3	2
Subwoofer	3	7
BBall Hoop Portable	3	31
Cage bird	3	4
Lantern	3	6
Corn hole boards	3	3
Shelve - Shoe	3	5
.ORIGIN - DRIVEWAY - NO DRIVEWAY	3	0
WARDROBE	3	8
Tote empty	3	1
Plastic Cabinet with Drawers	3	5
BOW	3	6
Desk/Office	3	33
Wash Stand	3	13
Tote Medium	3	5
Storage Box	3	10
Shoe box	3	12
Mops/Brooms	3	2
rack - misc.	3	15
Christmas decorations	3	3
table - glass top	3	10
Misc Item LG	3	22
Air Hockey	3	9
Stack Chairs	3	5
Ladder Small	3	3
Power Tool - Lawn Small	3	1
Exercise Home Gym	3	38
Plastic Shelf Small	3	2
Cooler Small	3	3
Wood Art	3	10
pin ball machine	3	40
Sporting/Goods	3	2
CRADLE	3	6
Child Bike	3	5
Plastic Chest	3	5
card table	3	4
Porch Table LG	3	20
Easel - Child's	3	1
Bar Stool - Small	3	3
Chair Straight	3	5
patio furniture set	3	20
cat comdo	3	4
Chair-folding	3	2
.CRATES - 3RD PARTY	3	0
Drying rack	3	1
Wine Rack - Small	3	2
clothes hanger	3	3
LED	3	8
Tote- Medium Plastic	3	5
Rack Med	3	5
LCD/plasma tv	3	10
totes medium	3	4
HEAD BOARD/FOOT BOARD	3	15
Microwave	3	4
Baby Accessories	3	18
Mirror Carton Large	3	5
Hobby Horse	3	2
RUG SCATTER	3	2
garden decoration	3	5
Bicycle - Childs	3	3
PBO - 3 Drawer Storage Cart (Medium)	3	5
Bench-Weight	2	10
Saw-Mider	2	20
Table-Saw	2	10
Sheer Brake Machine	2	150
Welding table	2	150
Garden Seeder	2	5
TV- Flat	2	10
Empty	2	5
Refrigerator - Wine	2	40
Aquarium Lg	2	30
Cabinet - Plastic Storage	2	8
Cart - Micro	2	7
Stereo Rack	2	15
TV Normal	2	7
Ornament Metal	2	7
Shelf Wood	2	5
Kegerator	2	50
Fireplace-Portable	2	30
Polygraphs	2	50
ATV UNIT	2	40
FISHING EQUIPMENT	2	5
ROTOTILLERS	2	15
Chipper	2	30
Vending Machine	2	35
Serving Table	2	30
Wire Rolls	2	10
Grandmother Clock	2	17
workmate	2	5
Table Top	2	6
CANOPY,SMALL	2	4
Washer/Dryer- Stackable	2	50
VALET	2	3
Easle - Kids	2	3
Easle - Lg	2	5
CHAIR,FOLDING	2	1
Bag of Clothing	2	2
Laptop Computer	2	1
Slot Machine	2	22
Umbrella Holder	2	3
matt	2	20
1.5	2	0
PLANT STAND SMALL	2	1
Auto Jack Large Metal	2	10
Easy Up	2	6
Weight Punching Bag	2	8
Cat Carrier	2	3
Skis, pair	2	3
TV Medium	2	15
Clothes rack	2	8
X-mas tree	2	10
popcorn machine	2	17
table - pub	2	10
bicycle	2	5
washing machine (front load)	2	30
Desk - Medium	2	10
Office Chair Mat	2	3
Cabinet - Video / TV	2	10
Stereo - Component	2	2
Bed - Head Board	2	10
Baby gate	2	2
Table - Nesting	2	4
Trash Can - Large	2	7
Luggage - Large	2	3
Desk - Rolltop	2	42
Arch	2	20
Air pump	2	7
PLASTIC BABY EQUIPMENT	2	2
Water barrel	2	4
.ATTIC NONE	2	0
.BASEMENT NONE	2	0
.DESTINATION - APARTMENT	2	0
Lamp - Table	2	2
 Hamic	2	10
Side table	2	10
bed, headboard,lg	2	10
steam cleaner	2	10
bike box	2	10
desk with Return	2	40
.ATTIC - NOTHING GOES	2	0
Pack - n - Play	2	3
Dryer - 3rd Party (F.L.)	2	25
W/D Pedistal	2	5
Kids Car	2	10
LCD TV- 60 inch	2	15
dollhouse	2	11
Christmas tree in box	2	4
Footlocker, Large	2	8
chair, recliner	2	16
Table,sofa	2	10
lawn edger/trimmer	2	3
display cases/sports memorabilia	2	17
outdoor metal chair	2	5
LCD TV-26inch	2	10
Curtain Rods	2	3
Plastic Bin Small	2	2
Plastic Plant	2	5
froze ball table	2	10
fire place	2	15
iMac	2	5
AUTO PARTS	2	8
ENGINE PULLER	2	20
Electric Piano	2	20
trundle bed	2	60
Litter Box	2	2
trays	2	5
G-CLOCK	2	13
Sauna	2	47
Pedistal	2	6
Desk, Small	2	16
bean bag chair	2	7
Bird Bath - Concrete	2	12
Blower	2	5
Jack small	2	5
Folding Screen	2	10
Tray Tables	2	5
Lumber	2	10
large plastic storage container	2	10
Car top carrier	2	9
JET SKI 14' & OVER	2	100
Light Fixture	2	4
Baby Item	2	2
wire rack	2	2
Air Compressor, Lg	2	25
Bike Stroller	2	3
Chair Wicker Lg	2	5
Desk School	2	4
Wood Rack	2	5
Sub woofer	2	9
Cart Metal	2	5
Dolly 2 Wheeler	2	4
piano electric	2	12
sound bar	2	1
METAL LOCKERS	2	9
File--2 Drawer Lateral File	2	25
Chest 2 drawer	2	10
Wheels	2	1
.EXERCISE EQUIP - OTHER	2	0
.FLAT SCREEN ORIG BOX PBO	2	0
Stand - Music	2	3
bed bench	2	10
Beanbag Chair	2	3
ARTWORK	2	12
BINS	2	7
pboa 3.0	2	3
Table - Desk	2	10
bicycle carriage	2	5
jewelry chest	2	5
Light	2	3
Log Splitter	2	32
car top carrier	2	11
Projection Screen	2	10
tramlione	2	10
Bassinette	2	10
Playhouse-Plastic	2	10
sawhorse	2	3
Rug Shampooer	2	4
wicker	2	6
Dryer - Gas - 3rd Party	2	25
Box Dollie	2	5
Tote, Empty	2	2
candle stand	2	1
Bed Trundle	2	30
Desk -Office	2	65
TV -Stand	2	10
Bird Bath (cement)	2	15
Chair,Plastic	2	1
Hose Reel	2	4
wood pieces	2	4
Bakers Rack - Wire	2	10
Shelves- Plastic	2	5
Washer/Dryer	2	50
Table - Folding.	2	5
Return	2	15
gun	2	2
No Items Moving	2	0
Cabinet Plastic	2	4
Rocking horse	2	2
Bicycle childs	2	3
Clock - mantel	2	2
Tent - small	2	7
go cart	2	35
Lawn tool	2	2
.ORIGIN - FLIGHT (INTERIOR)	2	0
beanbag	2	5
Pedastals	2	10
Step	2	1
Bench - Outdoor	2	11
Christmas Tree - Small	2	10
Shelves - Shoes Wood	2	2
Weber	2	2
plastic stand	2	5
Cat scratch	2	7
TV - Normal	2	7
Desk Sm	2	5
Yard Trailer	2	10
Cages	2	5
Camper shell	2	20
Basinet	2	4
tray table set	2	5
food	2	7
wood box	2	6
Shreder	2	3
Stroller -- Umbrella	2	3
TV - Old CRT	2	15
wreath	2	2
scale	2	7
pappason chair	2	10
BIKE RACK	2	10
Oven - Not Going	2	0
Jewelry box	2	7
Sto. Tubs	2	5
skiis	2	5
Patio Furniture	2	12
Office Desk Chair	2	5
Dresser - Wardrobe	2	30
Magazine Stand	2	5
Vanity Stool	2	5
AA special information	2	0
statuary	2	21
TV, LCD	2	10
Pallet	2	6
Fire pit	2	10
Washer Front Load	2	24
sub woofer	2	6
dog food containers	2	5
Mattress - Queen	2	20
Carton - Large PBO	2	4
Misc - Small	2	4
Carton - Small PBO	2	1
child's school desk	2	2
Tote - SMALL	2	2
Wicker Dresser	2	25
Wicker Table	2	7
Fire Place	2	17
Board	2	8
Manger	2	1
Sleds	2	1
Toy Bin	2	3
Plastic Chairs	2	2
dorm refrigerator	2	10
Trolling Motor	2	11
plastic bins	2	5
Toaster oven	2	2
Tote - Flat	2	2
Mirror, Floor	2	12
Sub Woofer	2	2
RAMPS	2	4
Hall Tree	2	22
Mattress - Twin	2	6
Water Softener	2	16
Chopsaw	2	7
Air compressor	2	10
spreader	2	1
Toolbox (hand)	2	5
Shelves Wood	2	5
Hose Wheel	2	5
Washing Machine-Front Load Whirlpool	2	30
Dryer - Cust to Service	2	25
tv trays	2	2
Xmas Decorations	2	7
Drafting table	2	8
LATERAL FILE	2	10
SWING/ PATIO	2	15
monitors	2	5
wine cabinet	2	22
Cornhole Game	2	7
Go Cart	2	36
Gun Case	2	5
Computer Tower	2	6
BOOKCASE 50	2	7
BUFFET 120	2	17
CHAIR 40	2	5
FILE CABINET 150	2	21
Basket- Laundry	2	1
.Carry @ Loading < 100'	2	0
.Driveway @ Loading - Inclined	2	0
.Flooring - Carpets	2	0
.Flooring - Tiles	2	0
.Furniture - Upholstery	2	0
.Important Item 1:	2	0
.Lot Not Going.  The Inventory Reflects Only The Items Shown as Going	2	0
.MOVER TO REASSEMBLE:	2	0
.Van Accessible @ Loading	2	0
.ORIGIN - DRIVEWAY UNPAVED	2	0
.ORIGIN - SHUTTLE EXPLAINED	2	0
trundle	2	5
dog gate	2	2
desk-smaller	2	15
Wicker Item	2	4
bed frames	2	10
Electric Wheelchair	2	20
bucket	2	5
cabinet wood	2	15
Fire Ring	2	3
bomb shelter	2	50
welder	2	10
Bowflex	2	42
Artificial Xmas Tree	2	30
Chest -Small	2	10
Bed -Frame	2	3
Computer & Video	2	5
Desk-Small	2	12
Gas cans	2	1
dolly carts	2	15
empty totes or boxes	2	5
fabric	2	5
sink	2	5
gym	2	10
propeller	2	5
kitchen island	2	10
Crates by Third Party	2	0
Ezel	2	2
Hutch bottom	2	30
Misc items	2	5
Shelf, plastic	2	3
Filing cabinet	2	20
Highboy	2	30
Bench, outdoor	2	10
Christmas Tree - Small (PBO)	2	10
Shelves - Shoes (Wood)	2	3
Notes - No items in this room going	2	0
Plastic shelving unit	2	5
Rug, 6' x 9'	2	7
Table, Banquet, 6'	2	6
Hose on cart	2	7
Ice Cooler	2	5
Mitre Saw	2	6
Wagon,garden	2	10
Mirror, large	2	10
Basketball Hoop, Portable	2	15
Swimming Pool	2	50
Sporting Goods	2	10
Swing Set - Cust to Disass (Metal)	2	25
sculpture	2	25
Boxes	2	5
aquarium crated	2	20
Pool Light	2	10
Self Wood	2	5
Table Kitchen Sm	2	10
Rack, Drying	2	2
Aquarium STD, Wood	2	20
Kiddie Pool	2	3
Self Sm	2	2
Violin	2	2
Chair, Patio	2	5
Swing, Porch	2	10
.FURNITURE - CURVED GLASS CABINET	2	0
Bed- Tempurpedic- king mattress	2	26
Xmas decorations	2	1
Work Table	2	15
Filing Cabinet-3 drawer	2	20
press	2	1
jungle Jim	2	100
Stone	2	15
Suitcase/Bags	2	3
Shelves plastic	2	5
SIDEBOARD	2	22
MISC CUBE 20	2	20
Crated chandelier	2	20
Table, kitchen	2	10
Sofa table	2	15
Small Whicker Trunks.	2	3
night stand	2	3
DESK SMALL	2	10
nothing ships	2	1
Safe - Large	2	59
Pack & Play	2	3
Hose Caddy	2	6
Piano, Electronic	2	20
Garden Tools and  Items for Yard Maintance	2	5
arch	2	10
Table -Patio	2	20
DOG CRATE	2	3
Kayak	2	15
Cabinet-Small	2	10
Saw Hotses	2	2
Cement Mixer	2	15
Steel Tubing	2	12
Vice	2	7
Slate	2	5
closet shelves	2	3
Antique - Glass Front	2	5
Antique Secretary Desk	2	15
Antique Pie Cabinet	2	7
Window	2	2
Antique Mail Cabinet	2	25
Outdoor - Bench	2	8
Decorations	2	2
Hose Bin	2	4
golf caddy	2	8
Typewriter	2	1
.BULKY - GF/GM CLOCK	2	0
.CUST 2 REMOVE TV FROM WALL OR STAND	2	0
.CUST 2 SERVICE: OTHER	2	0
.DRESSER DRAWERS CAN STAY FULL (LIGHT WEIGHT ITEMS ONLY)	2	0
.EXERCISE EQUIPMENT IN BASEMENT	2	0
.FLAT SCREEN TV - ORIGINAL BOX - MOVER TO PACK	2	0
.FLOOR - PLAN  ( 2 Floors with basement)	2	0
.WINDOW TREATS - CUST 2 PREP	2	0
Clock - GF - Cust to Service	2	25
PBO -   3 Drawer Storage Cart (Medium)	2	5
PBO - TOTE (XLARGE)	2	7
Toy - Workbench	2	7
Vase -Decorative (Large)	2	3
Bicycle - Trailer	2	5
Compressor, Air - Medium	2	30
Mat - Rubber Fitness 24" x 24"  3/8"	2	1
Organizer - 3 Cube	2	3
Scooter - Razor	2	2
Yard Tool - Broom	2	1
Yard Tool - Edger	2	1
Yard Tool - Garden Hoe	2	1
Yard Tool - Leaf Blower	2	2
Yard Tool - Rake	2	1
Yard Tool - Shovel	2	1
Sofa - Sectional (2 Piece)	2	35
All Remaining Boxables Stay	2	0
All Remaining Furniture Stays	2	0
All Remaining HHG Stays	2	0
Swing Set - Small Customer to Disassemble	2	25
Misc HHG - Yard Item	2	8
Patio -  Table (Large)	2	10
Picnic Table - Child	2	2
Sandbox / Child Pool	2	3
Bench, large	2	20
DART BOARDS	2	2
MATTS RUBBER	2	2
tree	2	5
Tractor Trailer Accessible (Origin)	2	0
deck box	2	15
wind vane	2	2
Motorcycle Lift	2	50
Bow and Arrow	2	2
Plastic Play House	2	10
saddle	2	7
Box - Dish Pack Carton,  contents not going	2	0
Wagon - Kids	2	4
Saw - Chop	2	10
Shelving - Plastic	2	5
Rack - Wooden	2	3
Bench - Small Wood	2	6
Fishing Gear	2	3
Cabinet - Glass Front	2	10
nothing goes roommates room	2	0
Tools - misc large	2	9
Desk - small	2	7
Chairs Dining	2	5
Tent - Camping	2	5
Bed- Crib	2	10
Chair - Chaise Lounge	2	17
Table - Night Stand	2	10
Child's Playhouse	2	15
Table - Patio/Picnic	2	20
Can	2	2
Wicker Chest	2	4
Outdoor Decoration	2	3
Table - Outdoor Large	2	15
Tool Board	2	15
futon, full	2	35
Tchotchkes - Knick Nacks	2	0
AMPLIFiER	2	5
ROCKER	2	5
TOOL-misc	2	10
2Weel	2	3
PIANO,BABY GRAND	2	70
Coca Cola Refrigerator	2	45
Table utility	2	5
Lawn Mower Impliment	2	15
Wardrobes	2	10
cabinet sm	2	10
Med.Box	2	4
Adirondack chairs	2	10
Mop/broom	2	1
canoe under 14 ft	2	100
CHAIR	2	1
Misc. Cube	2	25
toy	2	1
Croquet Set	2	4
Bug Zapper	2	4
Hoosier	2	24
BED YOUTH	2	10
PLAY PEN	2	6
SKATE BOARDS	2	1
Pinball Machine	2	37
Chair Wicker	2	4
Keyboard & Stand	2	7
Garden Hose Sm	2	3
Tote  - Plastic Packed Sm	2	2
Dresser - Hutch	2	10
Pad	2	6
Air mattress	2	3
Seat	2	2
CREDENZA	2	27
Plastic tubs	2	3
BBQ Grill	2	15
Buffet top	2	25
Cabinet Medium	2	10
Cabinet-Hoosier	2	20
Chair - Bean Bag	2	2
Desk-school	2	10
table leaf	2	2
chair plastic	2	1
armoir large	2	40
Childs Small	2	2
Plastic toy	2	1
Victrola	2	17
Power washer	2	7
File Cabinet	2	10
T.V Trays	2	3
Planters	2	3
carpet cleaner	2	5
gazebo	2	15
lawn implement	2	10
tool small	2	5
yard art large	2	5
Yard art small	2	1
Panels	2	6
Small chest	2	12
Dog Carriers	2	6
Shreader	2	3
ART EASLE	2	1
Mirror Carton PBO	2	5
PBO DISHPACK	2	10
CERAMIC BENCH	2	20
eisle	2	5
wicker patio furniture	2	20
Microwave Cart	2	12
Tray	2	3
rug 6x9	2	8
backpack	2	4
book carton that doesn't go	2	7
car top	2	12
snowshoes	2	3
bar stools	2	2
case of wine-12 pack	2	7
Diaper Pail	2	3
Fence Section	2	5
Porch Swing	2	25
Hand truck	2	6
TRAVEL CAMPER TRAILER	2	87
HORSE TRAILER	2	100
chaise lounges	2	30
Fishing	2	3
CAR TOP CARRIER	2	9
SMOKER	2	7
Twin Mattress	2	10
Monitors	2	4
instrument,small	2	6
vase. floor large	2	3
Shelves - plastic	2	8
Wine cooler	2	15
School Desk	2	5
COMPUTER	2	5
CASE	2	3
DESK, SMALL	2	8
MOTOR CYCLE	2	87
CHAIR MATT	2	4
Auto - Battery Charger	2	5
Auto - Floor Jack	2	10
Saw Horses (Plastic)	2	3
Table - Folding (Small)	2	4
TV - Trays (Set)	2	3
Cabinet - Wood (Large)	2	15
Easel - Wood	2	2
Shelves - Wood (Wall)	2	2
Chaise Lounge - Patio (Metal)	2	10
Table - Patio (Metal - Small)	2	2
Partition	2	9
Edger - Lawn	2	3
curtain rod	2	2
Shelf, Small	2	5
Dryer w/ Pedistol	2	40
Washing Machine w/ Pedistol	2	35
AA Access	2	0
AA Load From street	2	0
AA Tv Unmount	2	0
AA 2 Story House	2	0
AA 2nd comment	2	0
WEED EATER	2	5
island	2	18
Mattress, Queen	2	25
Mattress, Twin	2	10
Riding, Mower	2	70
CORNHOLE	2	4
luggage	2	5
Bureau	2	15
Mattress/Boxspring	2	18
Dresser  -Mirror	2	10
Table - Side	2	10
Tote, Small	2	2
Curio	2	20
Office - Chair	2	10
Freezer - Not Going	2	0
Cabinet - Corner	2	20
fire pit	2	5
CD rack	2	2
Saw Horse - Plastic	2	1
OFFICE CHAIR	2	4
Trypod	2	5
water system	2	15
Step/Stool	2	3
CORK BOARD	2	2
AQUARIUM	2	7
glider	2	12
planter	2	6
tool	2	3
work bench	2	10
Table - Wood	2	3
Stair Carry	2	0
skis and poles	2	2
Back Pack/Frame	2	2
basketball hoop	2	15
Golf cart	2	60
Divider Screen	2	4
hand Tools	2	3
chairs - folding	2	5
Chalk Board	2	6
Compressor, Air - Large	2	20
Saw, Other	2	2
GF Clock - 3rd Party	2	25
Chest - Jewelry/Lingerie	2	10
Bench - Cement	2	10
Bird Bath - Cement	2	15
Clay Pot	2	5
cargo carrier	2	15
clothes drying rack	2	1
safe, small	2	4
Tools-Yard	2	10
Ornament	2	3
Bistro Set	2	15
Ladder -- Folding	2	4
Foosball Table Game	2	37
Shelves Open Wood or Plastic Small	2	4
Desk Part	2	12
play set	2	100
toy box	2	9
Power Tool - Hand Small	2	1
Rack LG	2	10
Sofa Chaise	2	27
Floor Jack Lg	2	9
Floor matt	2	1
Washer - Top Load	2	25
Adirondack Chair	2	10
Treadmill Folding	2	15
Folding Stool	2	1
Toolchest Small	2	2
.BULKY - OTHER	2	0
.YOUNG CHILDREN	2	0
Bench - Wrought Iron	2	10
Cartop Carrier	2	10
Chair - Overstuffed Leather	2	25
chair folding	2	1
Small Amp	2	7
Carpet cleaner	2	3
Computer & display	2	10
Bicycle Kids	2	2
Brooms & Mops	2	1
School Chair	2	5
Desk Small	2	10
cork board	2	5
Hand Tools	2	2
Hutch Small	2	20
Patio Blind	2	5
Table - Outdoor Small	2	3
Jogger	2	5
Bed, Queen	2	60
..VERY IMPORTANT NOTE	2	0
Mirror. large	2	5
dolly	2	6
Chair-Patio	2	5
Chair plastic	2	1
drying rack	2	5
Bar Stool - Large	2	5
Desk - computer	2	7
PBO 3.1	2	3
Hula Hoop	2	2
Wakeboard	2	4
power washer	2	11
patio set	2	25
Gorilla Rack	2	17
Chair. Metal	2	3
Bed Metal Frame	2	5
chair, plastic stacking	2	3
Cabinet - Curio/Utility	2	10
Miscellaneous, 5 Cube	2	5
Bookcase, Tall	2	10
Trash Can, Kitchen	2	5
Table - Coffee Small	2	5
Vacuum Cleaner/Rug Cleaner	2	5
Bookcase, Short	2	5
shelves	2	3
Cubby	2	18
Wake Board	2	5
.ORIGIN - CARRY	2	0
Long Guns	2	3
Cat toy	2	7
bed frame headboard only	2	10
box	2	1
yard Art	2	20
Sofa - Wicker - 3 Cushion	2	12
Shoe racks	2	2
Target	2	4
Backpack	2	4
Filing Cabinet - 3 Drawer	2	20
Four Wheel Dolly	2	5
Farm Implements	2	75
Tool Cabinet	2	40
Fireplace Mantle	2	22
Bike high value	2	6
fence	2	12
Chair - Rocking	2	5
Photos Available	2	0
Sofa - Ottoman	2	6
stereo components	2	3
Shoe Stand	2	2
Desk -Table	2	15
TV-PLASMA	2	15
PC--Personal Computer / CPU	2	6
cart-small	2	5
Cabinet - Kitchen LG	2	30
Refrigerator - Dorm	2	10
Cart --Rolling	2	4
X-Mas Tree - Small	2	5
Trellis	2	4
Bin, large	2	10
Hi-boy dresser	2	20
.Only Inventoried Items Go	2	0
.Packing-CP-Corrigan Will Pack Everything	2	0
wood stock	2	8
Barbell	2	6
Pool Cues	2	4
Wine Cabinet	2	25
flower pot	2	4
shovel	2	1
Guitars	2	2
Cube Med	2	3
Heater - Small	2	3
rollaway	2	100
.COLLECTIBLES / MEMORABILIA	2	0
Buffet-Base	2	30
Planter Small	2	2
No Boxes Moving	2	0
Nothing Moving	2	0
Nothing is Moving	2	0
Tote - Plastic Small	2	3
Yard Art	2	8
Boxspring	2	20
Paddleboard	2	10
Watercooler	2	0
Pie Safe	2	25
CHAIR-OFFICE	2	2
CHAIR-RECLINER	2	27
PBO 4.5 ctn	2	4
Rack-shoe	2	2
.APPLIANCES STAY (KITCHEN ONLY)	2	0
bike racks	2	5
PBO - TOTE (XL)	2	8
Mats/Runners	2	2
Metal Racks	2	15
PBO Mirror ctn	2	5
Cubes	2	5
fishing equipment	2	10
MAC PBO	2	6
Booster Seat	2	1
scanner	2	2
DOG BED	2	5
GARDEN HOSE	2	5
Rack - Cup	2	2
PLASTIC DRESSER...  LIGHT	2	5
TV - Flat 50 to 60	2	20
Duffell Bag	2	6
Desk - Hutch Top	2	6
Music Rack	2	5
Misc. Item 10	2	10
Misc. Item 5	2	5
Dog Fence	2	10
SHAMPOOER	1	5
Bakers Rack	1	40
MISC. BAG	1	4
Portal Table	1	15
LCD-TV	1	10
Cement Alligator	1	20
Electric Fireplace	1	10
beanbag chair	1	3
Movie Screen	1	5
Projector Screen	1	10
Playground	1	80
stereo rack	1	15
Misc furniture	1	20
Plainer	1	70
Steel Wheel	1	15
Horse Shoes	1	10
Steel Table	1	50
LARGE TRAILER. PRESSURE WASHER	1	300
CAGES	1	5
Bike Trainer	1	5
WHEELCHAIR	1	20
Keyboard-Seat	1	3
Grill - Large	1	20
Bar-Portable	1	30
SCALE	1	5
MOTORCYCLE TRAILER	1	100
RAMP	1	3
Deer	1	10
DRUM SET	1	10
Cement Boot	1	10
Toaster	1	5
Bed Rail	1	4
Halltree	1	10
air comprs.	1	30
GO CARTS	1	12
PBO Mirror Carton	1	3
SHOES	1	1
BOAT LT 14'	1	0
Table-Drafting	1	15
Table-Marble	1	50
Tennis Machine	1	10
Water Softner	1	20
Chair-Massage	1	30
Carousel Horse Stand	1	10
Winch	1	10
Gun Locker	1	15
Press	1	10
Dog Ramp	1	15
Baggage	1	4
Desk school	1	10
Foldin chair in bag	1	3
Milk crate	1	2
Light rack	1	5
Hair Dryer	1	5
Cabinet-Whicker	1	10
Patio Bench	1	10
PopCorn Machine	1	15
Corn Hole Game	1	5
amoire	1	20
cabinet - China (1 piece)	1	30
large wood framed mirror	1	20
green egg grill	1	15
wicker furniture	1	8
Bean bag chair	1	5
TV Tray - (4)	1	5
Totes - Under Bed	1	5
storage unit	1	60
Teeter Board	1	10
Skis in bag	1	7
Credenzas- Small	1	12
Water Hose	1	4
potters heel	1	12
Wooden Playset	1	40
Lawn Sweeper	1	4
Leaf Sweeper	1	5
Trailer (Garden)	1	15
Hammock & Frame	1	7
Weed-Eater-Edger	1	3
butcher block table	1	30
form	1	10
Carpet	1	5
Fishing pole	1	1
yard tools	1	1
boxing bag	1	20
work horses	1	4
4 wheeler	1	50
speakers - large	1	15
chair -office	1	7
Freezer Small	1	10
Grill Small	1	4
Miscelaneous Weight	1	15
outdoor swings	1	7
picnic bench	1	3
Coo Coo Clock	1	10
Gong	1	10
Vibes	1	20
trestle	1	2
Quilt rack	1	4
Tools, Garden	1	2
Shed	1	10
.GARAGE NONE	1	0
Scale - Small	1	2
Vase - LG	1	12
Sofa/Loveseat - Recliner	1	40
hi back benches	1	10
large server	1	15
Side table cube shape	1	10
washing machine customer to disconnect and reconnect	1	15
bed, rails	1	2
mirror standing	1	10
library table	1	20
.BULKY - PIANO (GRAND)	1	0
Artificial Tree	1	10
Bed (Bunk )	1	30
Clock-Grandfather-Fake	1	10
CONCRETE BENCH	1	30
squash board	1	3
doll cradle	1	3
exercise equipment, chin-up bar	1	1
wedding dress, boxed	1	2
weight stand	1	25
Ping Pong Table Top (fits over pool table)	1	15
hose reel cart/table	1	7
soccer/lacrosse goals	1	2
weed wackers	1	5
Garden hose	1	3
rug cleaner	1	5
outdoor metal chaise lounge	1	5
outdoor metal table....rectangular	1	10
Table- Outdoor	1	40
Speed Bag	1	5
Kat	1	5
Slot Machines	1	20
surfboard	1	6
SoftBox	1	10
Stroller- Jogger	1	10
Flower Box	1	16
Wine Already boxed	1	1
Washing Machine-Portable	1	20
liquor cabinet	1	7
subwoofer	1	13
Christmas items	1	20
pressure washer	1	5
Rug 9X7	1	15
Pot - Metal	1	5
MEDICAL EQUIPMENT	1	3
ANTIQUE FARM DECOR	1	30
Storage rubbermaid	1	7
Cart custom	1	4
GO CART	1	10
Baby Stroller	1	5
Guitar without case	1	2
Computer Keyboard	1	2
Milk jug	1	7
TEA CART	1	5
TOTES PLASTIC	1	5
ROCK	1	7
STONE POTS	1	5
Barbell Rack	1	15
Piano-Electric	1	20
vaccum	1	5
