Name	Number	Ctf
Desk chair	52	5
Umbrella Stand	51	4
Magazine Rack	51	2
Guitar	51	2
Doll House	51	6
Plastic Bins Large	51	3
BIKE	51	3
TV trays	51	2
Hammock	50	7
KAYAK 14' & Under	50	6
PBO Not Moving 3.0	50	0
Chandeliers	49	21
PBO Not Moving. 4.5	49	0
Shoe rack	49	2
Patio Table	49	10
SHOE RACK	49	1
Garden Tools	48	7
Piano - Parlor Grand	48	78
Table-Leaf	48	2
Table - Folding	48	3
Toy Chest	48	6
Chair - High	48	4
Folding Chair	47	1
Rocking Horse	47	4
Table - Sofa	47	9
folding tables	47	4
Steam Cleaner	47	5
work mate	47	6
Welder	46	7
Chair, Folding	46	1
Bed - King / Queen	46	49
TV - Flat Panel - Large	46	10
Box - 1.5 Cu. Carton, contents not going	46	0
Bed Frame Small	45	7
File Cabinet- 2 drawer vertical	45	7
Butcher Block	45	14
Raton Chair	45	2
Fishing Rods	45	1
Telescope	44	4
Buffet	44	28
shoe rack	44	4
Rug - Medium	44	5
Rug/Round	44	6
Matts	44	4
Cabinet-Utility	43	19
Speaker	43	7
Amp	43	7
Ramp	43	4
futon	42	18
Tote-Meduim	41	5
Chaise Lounge - Metal - Wood	41	15
Garden Hose & Tool	41	2
Chest - Bachelor	41	11
STG BINS	41	4
screen	41	8
Heavy Duty Carton	40	5
Table - Patio	40	12
Bookcase - Large	40	23
Dog Bed	40	2
Golf Cart	40	70
folding table	40	3
Guns in a Case	40	4
Table-Kitchenette	39	10
Bed - Frame	39	6
Step Stool	39	1
tent	39	4
Armor Pk TV Crtn.	39	0
desk	39	13
tote small	39	3
Plastic drawers	39	4
Treadmill	39	28
Rubbermaid cabinet	39	10
Saddle	38	7
Bike Kids	38	5
mirror	38	10
Table - Coffee (Large)	38	10
PBO - TOTE (MED/LGE)	38	6
Tote - Extra Large	38	15
Flag Pole	38	2
Box - 3.0 Cu. Carton, contents not going	38	0
magazine Rack	38	1
Chair - Desk	37	6
PRINTER	37	4
1.5 Ctn- Not Going	37	0
Headboard	37	9
Golf Clubs	37	7
Water Cooler	37	7
Chair Folding	37	1
Wicker Basket	37	2
PBO - 3.0 (MEDIUM)	37	3
Desk w/ Return	37	35
Table - Medium	37	10
Golf - Clubs / Bag	36	3
scooter	36	5
Cabinet - Supply	36	26
Toy - Chest	36	5
Safe - small	36	10
Matt	35	5
Shelves	35	4
Plastic Shelf	35	7
Appliances - Counter Top	35	2
generator	35	19
Barbells - Enter Weight	35	16
Bed - Mattress	35	13
Ladder - 3 Step	35	3
Cabinet - Kitchen	35	27
Scooters	35	4
Coolers	34	2
Chair-Dining	34	4
Sandbox	34	8
Lawn Mower - Push	34	15
Ski	34	2
Music Cabinet	34	11
Tool Box	34	4
Coat Rack - Small	34	2
nothing goes	34	0
